Date,Facility,nfish,Expanded.Salvage,Loss,cumLoss
2022-06-12,SWP,0,0,0,52.480000000000004
2022-06-13,CVP,0,0,0,20.56
2022-06-13,SWP,0,0,0,52.480000000000004
2022-06-14,CVP,0,0,0,20.56
2022-06-14,SWP,0,0,0,52.480000000000004
2022-06-15,CVP,0,0,0,20.56
2022-06-15,SWP,0,0,0,52.480000000000004
2022-06-16,CVP,0,0,0,20.56
2022-06-16,SWP,0,0,0,52.480000000000004
2022-06-17,CVP,0,0,0,20.56
2022-06-17,SWP,0,0,0,52.480000000000004
2022-06-18,CVP,0,0,0,20.56
2022-06-18,SWP,0,0,0,52.480000000000004
2022-06-19,CVP,0,0,0,20.56
2022-06-19,SWP,0,0,0,52.480000000000004
2022-06-20,CVP,0,0,0,20.56
2022-06-20,SWP,0,0,0,52.480000000000004
2022-06-21,CVP,0,0,0,20.56
2022-06-21,SWP,0,0,0,52.480000000000004
2022-06-22,CVP,0,0,0,20.56
2022-06-22,SWP,0,0,0,52.480000000000004
2022-06-23,CVP,0,0,0,20.56
2022-06-23,SWP,0,0,0,52.480000000000004
2022-06-24,CVP,0,0,0,20.56
2022-06-24,SWP,0,0,0,52.480000000000004
2022-06-25,CVP,0,0,0,20.56
2022-06-25,SWP,0,0,0,52.480000000000004
2022-06-26,CVP,0,0,0,20.56
2022-06-26,SWP,0,0,0,52.480000000000004
2022-06-27,CVP,0,0,0,20.56
2022-06-27,SWP,0,0,0,52.480000000000004
2022-06-28,CVP,0,0,0,20.56
2022-06-28,SWP,0,0,0,52.480000000000004
2022-06-29,CVP,0,0,0,20.56
2022-06-29,SWP,0,0,0,52.480000000000004
2022-06-30,CVP,0,0,0,20.56
2022-06-30,SWP,0,0,0,52.480000000000004
