date_yyyy_mm_dd,brood_year,population,estimated_passage,length,length_min,length_max,primary_source
2022-01-13,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220101-20220114.pdf
2022-01-14,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220101-20220114.pdf
2022-01-15,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-16,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-17,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-18,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-19,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-20,2021,Winter Chinook,103,95,95,95,USFWS Biweekly20220115-20220128.pdf
2022-01-21,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-22,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-23,2021,Winter Chinook,336,NA,68,87,USFWS Biweekly20220115-20220128.pdf
2022-01-24,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-25,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-26,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-27,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-28,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220115-20220128.pdf
2022-01-29,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-01-30,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-01-31,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-01,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-02,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-03,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-04,2021,Winter Chinook,79,125,125,125,USFWS Biweekly20220129-20220211.pdf
2022-02-05,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-06,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-07,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-08,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-09,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-10,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220129-20220211.pdf
2022-02-11,2021,Winter Chinook,78,135,135,135,USFWS Biweekly20220129-20220211.pdf
2022-02-12,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-13,2021,Winter Chinook,134,NA,81,138,USFWS Biweekly20220212-20220225.pdf
2022-02-14,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-15,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-16,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-17,2021,Winter Chinook,32,85,85,85,USFWS Biweekly20220212-20220225.pdf
2022-02-18,2021,Winter Chinook,28,108,108,108,USFWS Biweekly20220212-20220225.pdf
2022-02-19,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-20,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-21,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-22,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-23,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-24,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220212-20220225.pdf
2022-02-25,2021,Winter Chinook,28,110,110,110,USFWS Biweekly20220212-20220225.pdf
2022-02-26,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-02-27,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-02-28,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-01,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-02,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-03,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-04,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-05,2021,Winter Chinook,38,147,147,147,USFWS Biweekly20220226-20220311.csv
2022-03-06,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-07,2021,Winter Chinook,72,NA,88,124,USFWS Biweekly20220226-20220311.csv
2022-03-08,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-09,2021,Winter Chinook,36,146,146,146,USFWS Biweekly20220226-20220311.csv
2022-03-10,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-11,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220226-20220311.csv
2022-03-12,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-13,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-14,2021,Winter Chinook,33,110,110,110,USFWS Biweekly20220312-20220325.csv
2022-03-15,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-16,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-17,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-18,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-19,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-20,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-21,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
2022-03-22,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220312-20220325.csv
